Timestamp,Why would you rather not have children? ,Please explain your previous answer.,
5/5/2015 21:31:19,I like my life as it is.,"I like being the aunt, and my niece and nephews like that we have a special relationship that we couldn't have if I had my own.",
5/5/2015 21:31:38,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",If I have children I want to be 100% available and present and financially able to provide without strain on my relationship. ,
5/5/2015 21:31:39,"I don’t want the financial responsibility., I like my life as it is.",I don't want to raise a child. Nothing about it appeals to me & I don't see the point.,
5/5/2015 21:31:48,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","I need to be selfish at the moment. While I take responsibility for my personal decisions, life has counteracted many steps I have tried to take in order to advance. As I work hard to move forward with obstacles in the way, I don't need a child interfering. ",
5/5/2015 21:32:02,I have a bad relationship with my parents.,"It sounds silly putting the blame on my parents, but I grew up despising my parents. They got divorced when I was just six months old and I've never felt like a priority. I'm afraid of the kind of parent I would be and I would never want a child to grow up feeling unwanted to liked I did. ",
5/5/2015 21:32:09,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","Ever since I was little, I haven't cared for babies - they cry, dribble, and poop. Toddlers scream. Teenagers are frustrating. I'd rather have pets, as they are eternally cute. I admit freely that I want to travel without worrying about children, that children's tv programs drive me crazy, that I can not imagine having to take complete and total care of another person. ",
5/5/2015 21:32:34,I like my life as it is.,,
5/5/2015 21:32:58,"I don’t want the financial responsibility., I like my life as it is.","I think that children used to be a necessity for families, they needed kids to help them with the farm and other things around the house. Nowadays I feel like a lot of people have children because it's just another part of keeping up with this ""perfect"" life that everyone wants... While I do have the longing for kids at times I also really enjoy the freedom that I have and also the freedom that my husband and I have living a child free life. I think it's great when people have a passion for wanting and having children especially if the couple or person is capable of giving that child a good upbringing to where they will grow up to be a good person and a productive adult. At the same time, I see too many people who are not adequate as parents just raising another child who is going to turn into an irresponsible adult who doesn't know how to function in society. If people really want to make a difference why don't they adopt and help give a child in need a good life if possible. I would even go so far as to say that having children in this day and age is selfish when there are so many children who are without parents waiting on someone to come and love them.  Seeing that I am 27, my feelings on the matter could always change and I may decide that I want children. However, even if I do decide to have children I believe that I will still feel that it's selfish to do so, to fulfill my maternal want, rather than helping a child in need who wants a good home to go to.",
5/5/2015 21:33:16,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","Never once did I feel the need to breed. I've never liked children, unless they were someone else's and not crying. Being forced by my mother into undergoing an instillation abortion at the age of 16 probably contributed to my aversion to childbirth, as I had to endure a night of labor pains in the hospital. I love my independent life, and at the age of 60 I have absolutely no regrets about choosing to remain child-free.",
5/5/2015 21:33:23,"I want to prioritize my career., I have a bad relationship with my parents.","When I think of my future, I can't see myself with children. I don't want to be married either. ",
5/5/2015 21:33:26,"I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:33:28,I like my life as it is.,"I have filled my life with career, family and friends.  I have always had very precious children and now young adults in my life.",
5/5/2015 21:33:37,"I want to prioritize my career., I don’t want the financial responsibility.","I love children. I cannot ever take on that responsibility though. I have 9 nieces and nephews that I have great relationships with. I cannot handle the 24/7 of a child. I don't want the connection, I understand the mother and child bond. Yes it's touching- I don't want it.",
5/5/2015 21:33:44,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","I've never really wanted them. When I was a little girl, my stuffed animals and dolls were my friends, not my babies. When I was diagnosed with endometriosis at 21 I was told to have children I'd likely require more surgery to get pregnant, etc. I didn't really have a reaction to my compromised fertility, which shocked my doctor. Well into my 30s, I still don't care. I love going out, concerts, traveling and spending time with my friends. I do love being an Auntie and I cherish my time with the niece and nephews I have. But I also like giving them back; sticky and exhausted if at all possible.  I think too many people breed for vanity or conformity. Neither appeal to me. ",
5/5/2015 21:33:46,"I want to prioritize my career., I don’t like children., I like my life as it is.","I do not have the capacity to deal with a tiny human with incessant needs and wants. I like living my life with my wants and needs in focus. I also feel that there is enough children in the world, and I don't want to add more. Children also seem to be at the heart of the issues surrounding marriages, it seems if you take them out of the equation, you remember what it's like to value yourself and your partner. ",
5/5/2015 21:33:59,"I don’t like children., I like my life as it is.","I have never been a ""kid person"" at any point in my life. I also believe in sustainability and that the world has enough people who's needs aren't being met.",
5/5/2015 21:34:05,"I want to prioritize my career., I like my life as it is.",,
5/5/2015 21:34:07,I like my life as it is.,"It never seemed to be on my priority list. I love children and I am a Midwife, so I see them all of the time. ",
5/5/2015 21:34:24,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I enjoy my freedom and feel like I would not be a good parent to children. I require adult and mature behavior from those I am around often, and being around children for large amounts of time goes contrary to that. It may sound harsh, but that's what it boils down to. :/",
5/5/2015 21:34:43,"I want to prioritize my career., I don’t like children., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.",I'm sorry I checked every single answer lol ,
5/5/2015 21:34:57,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","I don't dislike children. Mentoring is one of my favorite things to do. I don't love children enough to have any of my own. I think I can do a lot of good for children by continuing to live my life as it is, pursuing my career and trying to have the best marriage I can. I don't feel like my clock is ticking, and I don't feel this urge to be maternal. 

Most important of all: I'm happy and I am whole whether I have a child or not. I choose not. ",
5/5/2015 21:35:18,I like my life as it is.,"It was not a matter of wanting or not wanting to have children.  However, it was more loving myself enough to know the difference;  Trusting myself to know what I deserved and what a child would deserve and need. Understanding the unconditional love that was necessary for a child to thrive and become a beautiful member of the universe.  

There is a part of me that has always wanted to have children.  However, there is a greater part of me that understood the sacrifice it would take to have children.  While I completely trust and believe a woman, or man for that matter, is capable of raising a child independently, it was not something I saw myself doing... raising a child alone.   

In order for me to be in a place where I felt secure to raise a child, I felt I would need to be in a relationship with a partner. In order for me to be in a relationship with a partner, I needed to love and understand myself.   And since it took me until my 40's to find a life partner that would compliment who I am, I was not ready and able to have children and provide the children with the absolute love I felt in my heart they deserved.  

So, I do not have any biological children of my own and that is okay.  I am blessed with, at this time, 10 beautiful nieces and nephews and friend's children that I consider nieces and nephews.  I have a partner whose son loves me in a way that I am grateful.  I work in the school system with children I care for every single day.  

I love children.  I am grateful for the other women who recognize we are still whole without having children.  
",
5/5/2015 21:35:29,"I don’t want the financial responsibility., I like my life as it is.","I see having children as a lifestyle choice. I knew if I chose parenthood many freedoms that I wanted wouldn't exist. I never believed as a young girl, and then as a woman, that I was obligated to have children, or that it was an automatic choice. I always knew I wouldn't have any. I thankfully wasn't blinded by that primal urge.  ",
5/5/2015 21:35:30,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I am a 21 year old college student.

I can be very impatient with small children. I also suffer from anxiety and depression... if there are some days where I can barely take care of myself, how am I supposed to take care of someone who is so dependent on me? I value sleep and making sure I am healthy, I would not be able to deal with sleepless nights from having a baby. 

I also want to have financial freedom and travel the world, as well as advance in my career without having to worry about picking the kids up from school, etc. I want to focus on my career during the week, and my family and friends on the weekend, without having to babysit. I'd be more than happy to hang out with friends' kids or children in the family, but I don't want to have to deal with putting them to bed at night. ",
5/5/2015 21:35:38,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:35:40,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","Children are monsters. Parents of children under 10 are also monsters. No, thank you. I will just have dogs and sleep an uninterrupted 8 hours every night. 

Also I have a terrible genetic disease. Passing that on would be unethical.  ",
5/5/2015 21:35:48,I like my life as it is.,"I don't want children because to put it simply, they mess up everything. To me, children aren't a blessing. They're an inconvenience. I think that people who have children are selfish, because there are thousands of children in need who deserve homes too. Our earth is over populated, and children would mess up the way I want to live my life. I don't want to sacrifice my own body, time, money and energy into another human being. I am just fine living my life with my husband sans kids. We compete each other, and don't need to bring another life in this crazy world to affirm that. Our family is more than understanding and supportive. I don't feel like I need to explain my self to anyone, but I like to educate people on my decision when they ask. I've been told I'm 'heartless' and 'selfish', but I know that if I had a child, I wouldn't be able to give them all the things in life they need. I'm not being selfish, im actually thinking about them. ",
5/5/2015 21:36:50,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility.","I want to focus on my career.  As a young child I knew I did not want to be a mother. I never played house, or played with baby dolls, I was too busy playing nurse! I love children and am aunt to my boyfriends nephews who I love dearly. I love having fun with them but am thankful to come home to my quiet home. I want to spend my life helping sick children and to do that I need to be able to save 100 percent of my energy for them. ",
5/5/2015 21:36:54,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I don't relate well to children and now that I've gone so long without having them (I'm 39), I'm perfectly content with my life and finances as they stand now.",
5/5/2015 21:36:58,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility.","I want to focus on my career.  As a young child I knew I did not want to be a mother. I never played house, or played with baby dolls, I was too busy playing nurse! I love children and am aunt to my boyfriends nephews who I love dearly. I love having fun with them but am thankful to come home to my quiet home. I want to spend my life helping sick children and to do that I need to be able to save 100 percent of my energy for them. ",
5/5/2015 21:37:04,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","There are so many reasons. I am in no way ready to raise a human being. I know that if I had to, I would be able to do it, but to the way I want to?  Probably not.  i enjoy my financial freedom and the freedom to do what I want when I want.  I enjoy going on vacation, sleeping in, working 70 hours a week (if I want to, because lets be real, I don't currently work 70 hours, but I could!). I don't have to be responsible for anyone else than me. I enjoy the freedom of focusing on my career, my relationship, and ME. I also had a really shitty upbringing. I know that I would do a BAZILLION times better than my mother did, I am not the same person as her, but growing up with someone who was bipolar and anxious forced me to be the adult far too early. I have been enjoying my freedom. To be honest, I do have a child, she's 52 years old.  So I don't really want to bring an infant into this.  Plus, I like my body being mine. I don't have to sacrifice it for another human. I like it like that. ",
5/5/2015 21:37:10,I don’t like children.,,
5/5/2015 21:37:19,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:37:32,I like my life as it is.,"I love the freedom to do what I want, when I want to.  Also, the state of the world is not one I feel is good for any child at this time.",
5/5/2015 21:37:44,I like my life as it is.,"I have a really happy, fulfilling life, career, and relationships.  I also really enjoy the freedom that being child free gives me. Mostly though, I've never felt the pull to become a mom, so I don't feel like it's something I need to do to be complete.",
5/5/2015 21:38:01,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I'm still under 30 but am in a 5 year relationship and am confident I don't want children until I'm in a place where I am more secure financially, have more stability in my career, have experienced many of the things I want to do without the additional burden of children, and trust that I won't end up like my parents or my partner's parents (mine have been married for 28 years, his were each married and divorced 3 times before passing away young). If there comes a time in the future I'm ready for children, I'm open to changing my mind, but at this point having children would be a mistake personally and professionally for so many reasons.",
5/5/2015 21:38:04,"I want to prioritize my career., I don’t like children., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","My family is really dysfunctional. I spent 12 years in therapy to unlearn all the enmeshed, codependent things they taught me about relationships and family. I don't think I could be healthy for a child, even with the best intentions. I never had that maternal urge either. I didn't grow up wanting kids and my ""biological clock"" never started ticking. ",
5/5/2015 21:38:23,I like my life as it is.,"I never felt the urge to have children…I'm now 50 and have no regrets..In my late 30's I felt the 'now or never' thing but decided that wondering if I might regret it later was not a good enough reason to take the plunge? I have strong relationships with nieces and nephews as well as kids of my closest friends ..and I know it was the right decision for me!
",
5/5/2015 21:38:24,"I don’t want the financial responsibility., I like my life as it is.","I used to debate about wanting a child, but now I don't. I totally enjoy being able to go, move and do whatever I want to, when I want to. I don't have to worry about a babysitter or any of those things. I'm free!",
5/5/2015 21:38:32,"I want to prioritize my career., I don’t want the financial responsibility.","First, I have a lot of mental illness in my family and I think it's cruel to have a child when you are aware that you have a mental illness. I would never want my child to deal with the torture I deal with daily. To add with that, raising a child in a world like it is today is crazy! A child would also speed up my aging process. My career is very important to me and it is not child friendly, I would be too focused and would send the kid to daycare. I'd feel guilty doing that. I feel more successful and focused without a child. I don't hate kids, I'd help raise my friends kids but I don't want have a child with my genetics and how horrible the world is. ",
5/5/2015 21:38:50,"I don’t want the financial responsibility., I like my life as it is.","I feel like it's just not for me. Sometimes I think it's because I took care of everyone in my life while growing up emotionally and now I only want to be responsible for me and other times, most often times, I just don't want to and that's that. I have zero desire for motherhood. ",
5/5/2015 21:39:40,I don’t want the financial responsibility.,It's expensive,
5/5/2015 21:39:56,"I don’t want the financial responsibility., I like my life as it is.","One reason that is missing is a natural desire to preserve Earth. It's Extremely overpopulated as is, but that's not stopping people from having kid after kid. 
And another reason is that there are millions of unwanted children in the world that severely need taken care of, why keep bringing more into the world?",
5/5/2015 21:40:03,"I want to prioritize my career., I don’t like children., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","Ok...I'm back. I thought there would be more questions. 

I'm a chef. I have two dogs and a horse and a mini donkey and a boyfriend (in no particular order)...and (much to my mother's dismay) I much enjoy my life sans child.

Sometimes my mind wanders and I think about when I am 70 years old...who will take care of me. Then I think I wouldn't want to be a burden on anyone anyway.  

It's really quite freeing. 

xoxo Jen
jenozolins@gmail.com ",
5/5/2015 21:40:03,I like my life as it is.,,
5/5/2015 21:40:16,"I don’t want the financial responsibility., I like my life as it is.","Having children is all kinds of burden and I am not in the mind set to want to have them now nor do I long to have children (late 20s female from Florida). Realistically, there are countless social, political and economic issues that prevent me from desiring to have kids and bring them into a world that seems to be spiriling out of control. The decline of the education system for the rise of standardized testing, the imminent threat of climate change, over a decade in war and occupation abroad are just a few real-life issues that I would not want to bring a child into. I also don't thing it is selfish of a women to want to prioritize their life to ensure the effort and realization of personal fulfillment. What others may misconstrue a selfish act of refusing to have children can actually be considered a self-less act instead - one where a woman wants to realize her potential by focusing on her life before bearing children out of the societal or familial pressure to do so when they are not fully ready to. ",
5/5/2015 21:40:20,"I don’t want the financial responsibility., I like my life as it is.","I love children. I choose not to have any because I think some people are here to procreate and give society the best replacements they can raise, while others are here to improve society in their own way. We all have different paths and having a womb doesn't mean it should be my defining feature. I also have a brain and soul so I choose to let them teach me how to best improve my little piece of the world. ",
5/5/2015 21:40:21,I like my life as it is.,,
5/5/2015 21:40:35,I like my life as it is.,"I have only picked this answer because it's the least offensive, but it doesn't capture how I feel at all. As much as I like my life as it is, I would have had children under different circumstances. I've had my loves and losses, but haven't found a man I feel would be an appropriate partner, father, and co-parent. If I ever do, in time, I might reconsider. There are so many reasons a woman might hold back and decide to wait, and ultimately to forego motherhood, that I don't think a simple survey can adequately cover them. ",
5/5/2015 21:41:02,I like my life as it is.,,
5/5/2015 21:41:26,"I don’t want the financial responsibility., I like my life as it is.","Wish there were more options. I just don't see kids in my future. Partly because I'm terrified of surgical procedures (I still have my wisdom teeth). I'm not going to pretend being 9months pregnant is awesome. Also, it's a gamble. Children are. ""It'll all be worth it."" I'm not sure I believe in unconditional love either. And the obvious, they're expensive (mostly babies). I can go on forever. Im still young and if I do slip up and have one, I'll have four more. Go big or go home. ",
5/5/2015 21:41:28,I like my life as it is.,"I have stepchildren, elderly parents, a sibling with mental illness with 4 children and a desire to pursue creative pursuits. More responsibility and caregiving would not be appreciated. ",
5/5/2015 21:41:36,I want to prioritize my career.,,
5/5/2015 21:41:37,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I'm far too selfish. I like being able to pick and do what I want, when I want to. I've never had a maternal instinct about me. Additionally, I'm 30 and single. I don't ever see myself financially affording children with my student loan debt. ",
5/5/2015 21:41:41,I like my life as it is.,"Never met the man I wanted to raise a child with.  Didn't want to do it alone.   If I had felt a burning desire to have kids, I would have explored other options and had kids.   Thirteen nieces and nephews helped whenever an urge for kids surfaced.  I loved spending time with them but liked handing them back to their parents.  

I love my life and make a great 'cool aunt'.   ",
5/5/2015 21:41:59,I don’t want the financial responsibility.,,
5/5/2015 21:42:00,I have a bad relationship with my parents.,"All my life I have heard repeatedly from my mom, just wait until you're a parent you'll understand. As I grew up and the older I am the broader my perspective is on world and political issues that as a woman, I am blessed to have a choice in this country how I want to live whether exploring a career or motherhood or both is my choice and recognition of strength that alone stands for.

Now, I see an enormous generation gap when my mother started young to have her family, she devoted and lost her own identity to that marriage and motherhood. Today, woman don't need to be scared of losing who they are in a relationship or just be seen in one lense as a mom. 

So, when my mom says in a negative tone, you'll never understand until your a mom, I think twice before getting upset and directing anger towards her because I understand my view and I validate them, not my mom, society, or partner. ",
5/5/2015 21:42:04,I like my life as it is.,,
5/5/2015 21:42:32,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility.","It was difficult for me to commit to finding a partner and/or to commit to having children, I'm not sure why.  I think I have been too busy taking care of myself and did indeed make my career a priority.  But, career or not, if I was a more relaxed person, I think I could have taken a different path and have had children.  I am 44 and when I was 40 I made the choice to have a hysterectomy due to fibroids - I probably could not have had children anyway.",
